Year,Tm,Player,Age,Rounded Position,WS
2001,SAC,Art Long,28,5,-0.1
2015,WAS,Glen Rice,24,2,-0.1
1994,DEN,Roy Marble,27,3,-0.2
2004,GSW,J.R. Bremer,23,1,-0.3
2004,NJN,Mikki Moore,28,4,0
2009,CHI,Demetris Nichols,24,2,0
1988,MIL,Rickie Winslow,23,3,-0.2
1994,MIA,Manute Bol,31,5,-0.3
2005,SAS,Linton Johnson,24,3,0
2012,DAL,Kelenna Azubuike,28,2,-0.1
2016,LAC,Cole Aldrich,27,4,0
1999,MIA,Marty Conlon,31,4,-0.1
2007,SEA,Andreas Glyniadakis,25,5,-0.2
2008,SAC,Orien Greene,25,2,-0.2
2012,MIL,Darington Hobson,24,2,-0.2
2013,NOH,Donald Sloan,25,1,0
1995,UTA,Jay Humphries,32,1,-0.4
2002,ORL,Dee Brown,33,1,-0.3
2013,BOS,Kris Joseph,24,3,-0.1
1999,MIA,Mark Davis,25,3,-0.1
2003,BOS,Mikki Moore,27,4,0
2015,PHO,Reggie Bullock,23,3,-0.3
2006,CHI,Randy Livingston,30,2,0
2009,PHO,Dee Brown,24,1,-0.1
2012,SAS,Ike Diogu,28,3,0
1989,PHO,Kenny Gattison,24,3,0
1999,DEN,Loren Meyer,26,5,-0.3
1999,ORL,Kevin Ollie,26,3,0
2001,GSW,John Coker,29,4,-0.1
2006,MIA,Earl Barron,24,5,-0.2
1982,CLE,Mel Bennett,27,3,-0.1
1985,WSB,Tom Sewell,22,2,-0.4
1996,MIL,Kevin Duckworth,31,5,-0.1
1978,HOU,John Johnson,30,3,-0.1
1985,PHO,Rick Robey,29,4,-0.2
1985,CLE,Campy Russell,33,3,-0.1
1995,IND,Greg Kite,33,5,-0.2
2015,UTA,Patrick Christopher,26,3,-0.1
1995,SAS,Corey Crowder,25,2,-0.1
1987,MIL,Jerome Henderson,27,4,-0.1
2003,DAL,Antoine Rigaudeau,31,2,-0.4
2006,DET,Alex Acker,23,2,-0.2
2006,MIA,Matt Walsh,23,2,0
2008,SAS,Keith Langford,24,3,0
2010,HOU,Will Conroy,27,1,-0.1
1997,NJN,Vincent Askew,30,2,0
1999,GSW,Duane Ferrell,33,3,-0.2
2016,CHI,Cameron Bairstow,25,4,0
1987,SAS,Forrest McKenzie,23,3,-0.2
1994,UTA,Dave Jamerson,26,3,0
1996,MIN,Charles Smith,28,1,-0.2
2001,TOR,Tyrone Corbin,38,2,-0.3
2002,PHO,Charlie Bell,22,2,-0.2
2003,PHO,Alton Ford,21,4,-0.1
2010,CHI,Lindsey Hunter,39,1,-0.3
1993,LAC,Duane Washington,28,1,-0.1
1995,NYK,Charlie Ward,24,1,-0.2
2004,GSW,Dan Langhi,26,4,0
2006,HOU,Maciej Lampe,20,5,-0.1
2011,SAS,Alonzo Gee,23,3,-0.1
1980,UTA,Andre Wakefield,25,1,-0.2
1984,IND,Bruce Kuczenski,22,4,-0.2
1986,CHI,Ron Brewer,30,1,-0.1
1996,CHH,Joe Wolf,31,4,-0.1
2003,SEA,Ronald Murray,23,2,-0.1
1981,BOS,Wayne Kreklow,24,1,-0.3
1981,DAL,Austin Carr,32,2,-0.4
1990,SAS,Chris Welp,26,4,-0.1
1999,UTA,Chris King,29,4,-0.1
2001,MIA,Jamal Robinson,27,3,-0.2
2008,DAL,Jamaal Magloire,29,5,-0.1
2009,NYK,Malik Rose,34,3,-0.6
2010,NYK,Eddy Curry,27,5,-0.3
2013,DAL,Chris Wright,23,1,0
1985,ATL,Leo Rautins,24,2,0
1988,DET,Walker Russell,27,1,0
2007,PHI,Steven Smith,23,4,-0.1
2014,ATL,Jared Cunningham,22,1,-0.1
2015,TOR,Bruno Caboclo,19,3,-0.1
1988,NYK,Rory Sparrow,29,1,-0.2
1990,MIL,Jerry Sichting,33,1,-0.1
1998,MIN,Clifford Rozier,25,4,-0.1
1999,VAN,Carl Herrera,32,3,-0.2
1999,MIL,Jamie Feick,24,5,0
2000,BOS,Wayne Turner,23,1,-0.1
2003,POR,Chris Dudley,37,4,0
2010,OKC,Antonio Anderson,24,2,0
2014,GSW,Nemanja Nedovic,22,1,-0.4
1998,ORL,Donald Royal,31,3,-0.1
2002,PHI,Matt Geiger,32,5,-0.1
2006,LAL,Von Wafer,20,2,-0.3
2008,DEN,Von Wafer,22,2,-0.4
2015,PHO,A.J. Price,28,1,-0.1
2016,CHO,Troy Daniels,24,2,-0.1
1997,IND,Reggie Williams,32,3,-0.1
1999,PHI,Benoit Benjamin,34,5,-0.1
2000,DET,Jermaine Jackson,23,2,-0.2
2004,SAS,Matt Carroll,23,2,-0.1
2005,UTA,Aleksandar Radojevic,28,5,-0.3
2009,CHA,Andre Brown,27,4,-0.1
2009,CHA,Linton Johnson,28,2,0
2016,UTA,Trey Lyles,20,4,-0.1
2003,MEM,Cezary Trybanski,23,5,-0.3
2005,NJN,Elden Campbell,36,4,-0.1
1995,PHI,Kevin Pritchard,27,1,-0.2
1997,DEN,Elmer Bennett,26,1,-0.3
1999,PHI,Scott Williams,30,4,0
2007,IND,Josh Powell,24,4,-0.1
2005,HOU,Brandin Knight,23,1,0
2007,SEA,Randy Livingston,31,1,-0.1
2011,NYK,Andy Rautins,24,1,-0.2
2003,BOS,Mark Bryant,37,4,0
2006,SEA,Noel Felix,24,4,-0.3
1988,DET,Ron Moore,26,4,-0.1
1988,POR,Kevin Gamble,22,2,-0.1
1997,SAS,Tim Kempton,33,4,-0.2
2004,MEM,Ryan Humphrey,24,4,0
2008,CLE,Lance Allred,26,4,0
2014,CLE,Shane Edwards,26,3,0
2016,PHO,Sonny Weems,29,3,-0.2
2016,BRK,Donald Sloan,28,2,-0.1
1985,LAC,Jay Murphy,22,4,-0.5
1987,POR,Fernando Martin,24,3,-0.4
1988,NYK,Bob Thornton,25,4,-0.1
1990,UTA,Raymond Brown,24,4,-0.2
1994,CLE,Sedric Toney,31,1,-0.2
