Year,Tm,Player,Age,Rounded Position,WS
2004,SAC,Anthony Peeler,34,2,2.2
2004,NOH,Steve Smith,34,2,1.9
2004,PHO,Antonio McDyess,29,4,0.6
2004,TOR,Rod Strickland,37,1,0.1
2005,CHA,Jason Kapono,23,3,1.3
2005,DEN,Bryon Russell,34,3,2.6
2005,UTA,Carlos Arroyo,25,1,0.4
2005,DET,Ronald Dupree,24,3,1
2005,MEM,Jake Tsakalidis,25,5,0.6
2006,IND,David Harrison,23,5,1.5
2006,ORL,Bo Outlaw,34,3,0.7
2006,LAL,Laron Profit,28,2,0.3
2006,POR,Voshon Lenard,32,2,-0.1
2007,HOU,John Lucas,24,1,0.6
2008,CHI,Ben Wallace,33,4,2.4
2008,WAS,Darius Songaila,29,4,1.7
2008,MEM,Damon Stoudamire,34,1,0.4
2008,PHO,Alando Tucker,23,3,0
2009,NOH,Rasual Butler,29,3,4.6
2009,UTA,C.J. Miles,21,2,2.9
2009,GSW,Marco Belinelli,22,2,0.5
2009,GSW,Rob Kurz,23,4,0.7
2009,NYK,Anthony Roberson,25,1,0.3
2010,MIL,Luc Mbah a Moute,23,4,4.7
2010,NOH,Julian Wright,22,3,0.8
2010,WAS,James Singleton,28,4,0.9
2011,WAS,Al Thornton,27,3,1.3
2011,CHI,Omer Asik,24,5,2.7
2012,GSW,Dominic McGuire,26,3,1.5
2012,SAC,Donte Greene,23,4,0.7
2012,DAL,Dominique Jones,23,2,0.2
2012,NOH,Trey Johnson,27,3,0.1
2013,IND,Lance Stephenson,22,2,5.5
2013,LAC,Willie Green,31,2,2.5
2013,MEM,Darrell Arthur,24,4,1.7
2013,SAS,Matt Bonner,32,4,2.5
2013,MIN,Mickael Gelabale,29,3,1.5
2014,DET,Kyle Singler,25,3,4.4
2014,UTA,Richard Jefferson,33,3,2.7
2014,ORL,Maurice Harkless,20,3,2.8
2014,POR,Mo Williams,31,1,2.2
2014,OKC,Nick Collison,33,4,3.6
2015,CHO,Marvin Williams,28,4,4.3
2015,DET,Anthony Tolliver,29,3,2.5
2015,BOS,Phil Pressey,23,1,0.8
2015,DET,Tayshaun Prince,34,3,0.9
2015,NYK,Samuel Dalembert,33,5,0.3
2015,HOU,Isaiah Canaan,23,1,0.6
2016,MEM,Courtney Lee,30,2,0.2
2016,OKC,Dion Waiters,24,2,0.3
2016,DEN,Gary Harris,21,2,0.2
2016,LAL,D'Angelo Russell,19,2,0
1978,SEA,John Johnson,30,2,2.1
1978,BOS,Jo Jo White,31,1,1.7
1978,NJN,Wilson Washington,22,4,0.4
1978,SEA,Joe Hassett,22,1,0.5
1979,LAL,Dave Robisch,29,4,2.3
1979,SDC,Connie Norman,25,1,0.2
1979,POR,Jim McMillian,30,2,0.5
1981,DEN,Kenny Higgs,26,1,1.5
1981,DEN,Kiki Vandeweghe,22,3,1.2
1981,UTA,James Hardy,24,4,0.7
1982,BOS,M.L. Carr,31,2,2.8
1983,CHI,Tracy Jackson,23,2,1.7
1983,ATL,Wes Matthews,23,1,0.7
1983,HOU,Major Jones,29,4,0.1
1983,POR,Linton Townes,23,2,0.7
1983,DEN,James Ray,25,3,0.2
1984,PHO,Rod Foster,23,1,1.6
1984,SAS,Mark McNamara,24,5,1.2
1985,CHI,Wes Matthews,25,1,1.6
1985,LAL,Larry Spriggs,25,3,2.6
1985,PHI,Clemon Johnson,28,4,1.7
1985,LAL,Ronnie Lester,26,1,0.2
1986,BOS,Jerry Sichting,29,1,4.2
1986,CHI,Jawann Oldham,28,5,1.3
1986,UTA,Carey Scurry,23,3,1.8
1987,DET,Joe Dumars,23,1,4.2
1987,MIL,Craig Hodges,26,1,4.3
1987,PHI,David Wingate,23,2,1.4
1987,DET,John Salley,22,4,3.8
1987,SAS,Mike Mitchell,31,3,0.4
1987,LAC,Kenny Fields,24,2,0.7
1987,NJN,Ray Williams,32,1,0.4
1987,PHO,Rafael Addison,22,3,0.4
1987,NJN,James Bailey,29,4,0.3
1987,CHI,Ben Poquette,31,4,0.4
1989,LAL,Michael Cooper,32,1,4.4
1989,GSW,Larry Smith,31,4,3.7
1989,SAS,Dallas Comegys,24,4,1.4
1989,IND,Anthony Frederick,24,3,0.2
1989,PHI,Pete Myers,25,3,0
1990,CHH,Rex Chapman,22,2,-0.7
1990,CLE,Chucky Brown,21,3,2.2
1990,CHI,B.J. Armstrong,22,1,1.7
1990,ATL,Alexander Volkov,25,3,1.4
1990,SEA,Scott Meents,26,4,0.2
1990,CLE,Derrick Chievous,22,3,0.1
1991,MIL,Brad Lohaus,26,4,1.8
1991,ATL,Tim McCormick,28,4,1.1
1991,DET,John Long,34,2,0.5
1992,DAL,Doug Smith,22,4,0.8
1992,SEA,Tony Brown,31,2,0.6
1992,PHI,Kenny Payne,25,3,0.2
1992,DET,Lance Blanks,25,2,0.4
1992,NJN,Dave Feitl,29,5,0.1
1993,POR,Buck Williams,32,4,6.1
1993,MIA,John Salley,28,4,2.5
1993,IND,Sam Mitchell,29,3,2.8
1993,POR,Tracy Murray,21,3,0.5
1993,MIL,Alaa Abdelnaby,24,4,0.1
1994,SEA,Michael Cage,32,4,4.9
1995,HOU,Vernon Maxwell,29,1,1.9
1995,IND,Antonio Davis,26,4,2
1995,SAS,Jack Haley,31,4,0
1996,VAN,Blue Edwards,30,2,1.9
1996,SEA,Vincent Askew,29,2,4.3
1996,CHI,Luc Longley,27,5,3.5
1996,TOR,Willie Anderson,29,2,0.9
1996,IND,Dwayne Schintzius,27,5,0.3
1997,NJN,Tony Massenburg,29,4,2.8
1997,LAL,Corie Blount,28,4,2.5
1997,DAL,Jamal Mashburn,24,3,0.4
1997,POR,Rumeal Robinson,30,1,0.6
1997,MIA,Martin Muursepp,22,3,0
1998,MIN,Stanley Roberts,27,5,1.8
1998,LAL,Corie Blount,29,4,2.6
1998,PHO,Dennis Scott,29,3,1
1998,CHI,Dickey Simpkins,25,4,0.7
1999,SEA,Billy Owens,29,3,0.2
2000,ORL,Pat Garrity,23,4,2.8
2000,HOU,Matt Bullard,32,3,1.8
2000,SAC,Darrick Martin,28,1,1.3
2000,VAN,Cherokee Parks,27,5,1.4
2000,VAN,Felipe Lopez,25,2,0.4
2000,LAC,Brian Skinner,23,4,0.9
2000,ATL,Chris Crawford,24,3,0.6
2000,WAS,Calvin Booth,23,4,0.1
2001,HOU,Shandon Anderson,27,2,3.9
2001,WAS,Felipe Lopez,26,2,1.1
2001,ATL,Larry Robinson,33,2,1.1
2001,TOR,Tracy Murray,29,3,0.6
2001,DAL,Loy Vaught,32,4,0.7
2001,TOR,Kornel David,29,4,0.3
2002,SEA,Jerome James,26,5,0.9
2002,SEA,Calvin Booth,25,4,0.5
2002,BOS,Kedrick Brown,20,3,0.4
2002,TOR,Carlos Arroyo,22,1,0
2003,LAL,Derek Fisher,28,1,5.2
2003,LAL,Rick Fox,33,3,3.6
2003,NJN,Aaron Williams,31,4,3.7
2003,HOU,Glen Rice,35,3,3.3
2003,HOU,Terence Morris,24,4,0.9
2004,ORL,Gordan Giricek,26,2,1.2
2004,PHO,Jahidi White,27,5,1.2
2005,NJN,Travis Best,32,1,2.5
2005,NJN,Eric Williams,32,3,1.7
2005,LAL,Stanislav Medvedenko,25,4,0.5
2006,CLE,Ronald Murray,26,1,1.3
2006,MIL,Toni Kukoc,37,3,1.1
2007,CHI,Chris Duhon,24,1,4.8
2007,SAS,Fabricio Oberto,31,4,4.1
2007,SAS,Robert Horry,36,4,2.9
2007,NOK,Marc Jackson,32,4,0.7
2007,MIL,Dan Gadzuric,28,5,0.8
2007,LAC,James Singleton,25,4,0.7
2008,MEM,Juan Carlos Navarro,27,1,1.4
2008,NOH,Jannero Pargo,28,1,1.1
2008,NJN,Eddie Gill,29,1,0.3
2009,SAS,Roger Mason,28,2,4.7
2009,TOR,Joey Graham,26,3,2.2
2009,ORL,Tony Battie,32,4,2.8
2009,MIN,Bobby Brown,24,1,0.1
2010,ORL,Mickael Pietrus,27,3,3.6
2010,CLE,Zydrunas Ilgauskas,34,5,2.5
2010,BOS,Eddie House,31,1,1.4
2010,POR,Patrick Mills,21,1,0
2010,WAS,Mike Harris,26,4,0.1
2011,MIA,Eddie House,32,1,2.2
2011,SAS,Larry Owens,28,3,0.1
2012,NOH,Marco Belinelli,25,2,2.9
2012,NJN,Shelden Williams,28,4,2.1
2012,WAS,Shelvin Mack,21,1,0.7
2013,SAS,Boris Diaw,30,3,4.4
2013,MIL,J.J. Redick,28,1,1.3
2013,GSW,Brandon Rush,27,2,0
2014,SAC,Derrick Williams,22,4,2.5
2014,DAL,Jae Crowder,23,3,2.3
2014,POR,Dorell Wright,28,3,1.9
2014,PHI,Lavoy Allen,24,4,1.1
2014,HOU,Aaron Brooks,29,1,1.1
2014,GSW,Jordan Crawford,25,2,0.4
2014,OKC,Caron Butler,33,3,1.6
2014,LAC,Ryan Hollins,29,5,1.3
2014,PHI,Darius Morris,23,1,0.1
2015,NYK,Quincy Acy,24,4,1.7
2015,WAS,Drew Gooden,33,4,1.7
2015,MEM,Jon Leuer,25,4,1.3
2015,NYK,Iman Shumpert,24,2,0.3
2016,MIL,Jerryd Bayless,27,1,0.2
2016,NOP,Jrue Holiday,25,1,-0.2
2016,DEN,Mike Miller,35,3,0.1
1978,IND,John Williamson,26,1,0.6
1978,MIL,Ernie Grunfeld,22,2,1.4
1978,BOS,Kevin Stacom,26,1,0.8
1978,CLE,Dick Snyder,33,2,0.9
1979,DEN,Bob Wilkerson,24,2,2.9
1979,WSB,Charles Johnson,29,1,2.8
1980,POR,Bob Gross,26,2,1.7
1980,KCK,Marlon Redmond,24,2,0.3
1982,WSB,Frank Johnson,23,1,2.1
1982,DAL,Kurt Nimphius,23,4,1.5
1982,UTA,Howard Wood,22,3,0.3
1982,SEA,Vinnie Johnson,25,2,0.2
1984,DEN,Howard Carter,22,2,0.4
1984,POR,Pete Verhoeven,24,3,0.7
1985,KCK,Mark McNamara,25,5,0.2
1986,CLE,Keith Lee,23,4,1.9
1986,LAC,Junior Bridgeman,32,2,0.8
1986,MIL,Mike Glenn,30,1,1.5
1987,ATL,Tree Rollins,31,5,4.9
1987,HOU,Allen Leavell,29,1,2.4
1987,POR,Joe Binion,25,4,0.1
1988,IND,Herb Williams,29,4,1.8
1988,SEA,Alton Lister,29,5,4.1
1988,SEA,Kevin Williams,26,1,1.9
1988,IND,Clinton Wheeler,28,1,0.4
1989,HOU,Mike Woodson,30,2,3.5
1989,CHI,John Paxson,28,1,3.3
1989,ATL,Jon Koncak,25,5,3.7
1989,POR,Richard Anderson,28,4,2.1
1989,PHI,Derek Smith,27,2,0.9
1989,CHH,Rickey Green,34,1,0
1989,POR,Brook Steppe,29,2,0.6
1989,ATL,Duane Ferrell,23,3,0.4
1989,GSW,Ben McDonald,26,3,0.3
1990,WSB,Harvey Grant,24,3,2.6
1990,NYK,Trent Tucker,30,2,3.3
1990,CLE,Steve Kerr,24,1,3.2
1991,CLE,Craig Ehlo,29,2,3.4
1991,SEA,Michael Cage,29,4,4.3
1991,CLE,Chucky Brown,22,3,1.6
1992,NYK,Gerald Wilkins,28,2,4
1992,MIN,Sam Mitchell,28,3,2.3
1992,DAL,James Donaldson,34,5,1.5
1992,UTA,Thurl Bailey,30,4,0.5
1993,PHI,Tim Perry,27,3,2
1993,GSW,Jeff Grayer,27,2,1.5
1993,WSB,Larry Robinson,25,1,0
1994,DET,Lindsey Hunter,23,1,-0.8
1994,CLE,Danny Ferry,27,4,1.7
1994,ATL,Adam Keefe,23,4,1.4
1994,IND,Lester Conner,34,1,0.3
1994,GSW,Andre Spencer,29,3,0.1
1995,ATL,Tyrone Corbin,32,3,2.1
1995,SAS,Doc Rivers,33,1,1.8
1996,NYK,Charlie Ward,25,1,1
1996,MIN,Eric Riley,25,5,0.5
1996,PHI,Derrick Coleman,28,4,-0.2
1997,TOR,Popeye Jones,26,4,4.2
1997,HOU,Brent Price,28,1,0.7
1998,ATL,Tyrone Corbin,35,2,5.5
1998,ORL,Brian Evans,24,3,0.8
1998,NJN,Brian Evans,24,3,0.7
1999,ORL,Isaac Austin,29,4,1.2
1999,MIA,Voshon Lenard,25,2,0.3
1999,NJN,Brian Evans,25,3,0.2
2000,CLE,Wesley Person,28,2,3.7
2000,LAL,Ron Harper,36,2,4
2000,HOU,Kenny Thomas,22,4,2.2
2000,MIN,Sam Mitchell,36,2,2.3
2000,ORL,Derek Strong,31,4,0.2
2000,SAS,Derrick Dial,24,2,0.1
2001,POR,Greg Anthony,33,1,1.6
2001,PHO,Elliot Perry,31,1,0.7
2001,SAS,Shawnelle Scott,28,5,0.2
2002,BOS,Joe Johnson,20,3,2
2002,TOR,Dell Curry,37,2,1.2
2002,SEA,Randy Livingston,26,2,0.2
2003,SAC,Hedo Turkoglu,23,3,2.6
2003,SAS,Steve Smith,33,2,2.5
2003,IND,Jeff Foster,26,5,1.6
2004,UTA,Raul Lopez,23,1,1.4
2004,LAC,Eddie House,25,1,0.7
2004,CLE,Tony Battie,27,4,1.4
2005,SAS,Rasho Nesterovic,28,5,4.2
2005,CLE,Robert Traylor,27,5,1.8
2005,ORL,Mario Kasun,24,5,0.6
2006,BOS,Raef LaFrentz,29,4,4.3
2006,CHA,Bernard Robinson,25,3,1.7
2006,BOS,Mark Blount,30,4,0.2
2007,HOU,Shane Battier,28,3,9
2007,PHO,Raja Bell,30,2,5.8
2007,BOS,Gerald Green,21,3,1.6
2007,LAC,Jason Hart,28,1,1.2
2007,GSW,Josh Powell,24,4,0.4
2007,HOU,Jake Tsakalidis,27,5,0.5
2008,MIA,Ricky Davis,28,2,1.9
2008,POR,Steve Blake,27,1,3.8
2008,PHO,Boris Diaw,25,3,3
2008,POR,Martell Webster,21,3,3.5
2008,BOS,James Posey,31,3,6.2
2008,CLE,Anderson Varejao,25,4,2.4
2008,ATL,Anthony Johnson,33,1,1.8
2008,DET,Cheikh Samb,23,5,0.1
2009,NJN,Bobby Simmons,28,3,3.4
2009,ATL,Solomon Jones,24,4,1.9
2009,SAS,Malik Hairston,21,3,0.1
2010,DAL,Josh Howard,29,3,0.8
2010,MIN,Oleksiy Pecherov,24,5,0.1
2010,DET,Chris Wilcox,27,4,0.2
2011,SAC,Jermaine Taylor,24,2,0.1
2011,TOR,Alexis Ajinca,22,5,0.2
2012,NYK,Landry Fields,23,3,3.4
2012,LAC,Trey Thompkins,21,4,0
2013,DET,Brandon Knight,21,1,1.1
2013,MIL,Ekpe Udoh,25,4,2.7
2013,BOS,Jordan Crawford,24,2,0.5
2013,HOU,Thomas Robinson,21,4,0.1
2014,TOR,Terrence Ross,22,2,4.2
2014,LAC,Matt Barnes,33,3,3.5
2014,CHA,Michael Kidd-Gilchrist,20,3,3.1
2015,NYK,Jason Smith,28,4,1.2
2015,MIA,Tyler Johnson,22,2,0.8
2015,PHI,Furkan Aldemir,23,5,1.4
2015,PHO,Tyler Ennis,20,1,0
2016,GSW,Marreese Speights,28,5,0.1
1978,POR,Johnny Davis,22,1,4.3
1978,SAS,Mark Olberding,21,3,3.9
1978,DEN,Darnell Hillman,28,4,1.3
1978,IND,Bob Carrington,24,2,1
1979,DET,Leon Douglas,24,4,3.1
1979,MIL,Kevin Restani,27,4,2.6
1979,DET,Earl Tatum,25,2,0.7
1979,BOS,Billy Knight,26,2,0.7
1979,POR,Clemon Johnson,22,4,1.2
1980,CHI,Coby Dietrick,31,4,2.9
1980,DEN,Bo Ellis,25,3,0.9
1982,DEN,T.R. Dunn,26,2,4
1982,SDC,John Douglas,25,1,0.5
1983,BOS,Gerald Henderson,27,1,2.3
1983,MIL,Brian Winters,30,1,2.1
1983,NJN,Sleepy Floyd,22,1,0.9
1983,SEA,Mark Radford,23,1,0
1983,CLE,Carl Nicks,24,1,0.1
1984,GSW,Larry Smith,26,4,4
1984,DAL,Jay Vincent,24,3,1.1
1984,SEA,Jon Sundvold,22,1,1.2
1984,IND,Jim Thomas,23,1,1.6
1984,BOS,Carlos Clark,23,2,0.1
1985,PHO,Rod Foster,24,1,0.9
1986,BOS,David Thirdkill,25,3,1
1987,CLE,John Bagley,26,1,2.6
1987,NJN,Kevin McKenna,28,2,1.7
1987,SAC,Othell Wilson,25,1,0.6
1988,NYK,Johnny Newman,24,2,3.1
1988,CLE,Chris Dudley,22,5,1
1988,HOU,Steve Harris,24,2,0.3
1989,SAS,Vernon Maxwell,23,1,1.5
1989,NYK,Trent Tucker,29,2,4.6
1989,DET,Rick Mahorn,30,4,4.6
1989,LAC,Reggie Williams,24,2,0.4
1989,PHI,Gerald Henderson,33,1,1.1
1989,GSW,Steve Alford,24,1,1.4
1989,SEA,Russ Schoene,28,4,1.3
1989,DEN,Calvin Natt,32,3,0.3
1989,LAC,Ennis Whatley,26,1,0
1990,ATL,Cliff Levingston,29,3,3.4
1990,UTA,Eric Leckner,23,5,1.7
1990,SAS,Reggie Williams,25,2,0.1
1990,DET,Stan Kimbrough,23,1,0.1
1990,HOU,Chuck Nevitt,30,5,0
1991,LAC,Gary Grant,25,1,1.7
1991,LAC,Winston Garland,26,1,2.4
1991,LAC,Loy Vaught,22,4,2.2
1991,PHO,Negele Knight,23,1,0.6
1991,MIL,Adrian Dantley,34,2,0.1
1992,HOU,Sleepy Floyd,31,1,0.9
1992,UTA,David Benoit,23,4,2
1992,WSB,Andre Turner,27,1,0.4
1992,ORL,Chris Corchiani,23,1,0.9
1993,HOU,Robert Horry,22,3,3.6
1993,DAL,Dexter Cambridge,23,3,0.4
1993,HOU,Sleepy Floyd,32,1,1
1993,BOS,Lorenzo Williams,23,4,0.3
1994,IND,Malik Sealy,23,3,0.6
1995,NJN,P.J. Brown,25,4,4.6
1995,BOS,Eric Montross,23,5,4.1
1995,IND,Haywoode Workman,29,1,1.9
1995,MIA,Ledell Eackles,28,2,1
1995,POR,Steve Henson,26,1,1
1995,SAS,Moses Malone,39,4,0.3
1996,MIA,Kevin Willis,33,5,2.1
1996,DEN,LaPhonso Ellis,25,4,1
1996,DET,Don Reid,22,4,2.9
1996,GSW,Andrew DeClercq,22,4,0.4
1997,UTA,Antoine Carr,35,3,2.4
1997,NJN,Khalid Reeves,24,1,1.3
1997,POR,Stacey Augmon,28,2,1.5
1998,DEN,Dean Garrett,31,4,2.2
1998,MIN,Tom Hammonds,30,4,2.4
1998,PHI,Scott Williams,29,4,1.7
1998,MIL,Jamie Feick,23,5,0.9
1998,NJN,David Vaughn,24,4,0.4
1999,CHI,Mark Bryant,33,4,1.5
1999,LAL,Derek Fisher,24,1,1.7
1999,IND,Sam Perkins,37,4,1.7
1999,ORL,Derek Strong,30,4,1.6
1999,CHH,Charles Shackleford,32,5,0.7
2000,IND,Sam Perkins,38,4,3.5
2000,DAL,Greg Buckner,23,2,1.8
2000,LAL,Devean George,22,3,0.7
2000,MIL,Dale Ellis,39,3,0.6
2001,NJN,Stephen Jackson,22,3,0.9
2001,TOR,Corliss Williamson,27,3,0.8
2001,DAL,Greg Buckner,24,2,2
2001,MIL,Rafer Alston,24,1,0.3
2001,GSW,Bill Curley,28,4,0.3
2002,POR,Shawn Kemp,32,4,1.9
2003,ATL,Alan Henderson,30,4,2.6
2003,POR,Damon Stoudamire,29,1,1.6
2003,MIA,Eddie House,24,1,0.7
2004,MIA,Brian Grant,31,4,4.9
2004,TOR,Morris Peterson,26,3,4.9
2004,CHI,Antonio Davis,35,4,2.9
2004,MIL,T.J. Ford,20,1,0.7
2005,MIN,Latrell Sprewell,34,2,1.9
2005,MIN,Troy Hudson,28,1,1.3
2005,SAC,Maurice Evans,26,3,2.1
2005,BOS,Jiri Welsch,25,2,1.9
2005,NYK,Maurice Taylor,28,4,0.2
2005,SAC,Michael Bradley,25,4,0.1
2006,CHA,Jumaine Jones,26,3,3
2006,MIN,Mark Blount,30,4,1.5
2006,IND,Jamaal Tinsley,27,1,0.7
2006,MIN,Bracey Wright,21,2,0.2
2006,SAC,Sergei Monia,22,3,0
2007,CLE,Larry Hughes,28,2,3.9
2007,POR,Ime Udoka,29,3,3.9
2007,TOR,Jorge Garbajosa,29,4,3
2007,LAL,Maurice Evans,28,2,2.6
2007,CLE,Sasha Pavlovic,23,3,3.1
2007,MIL,Ersan Ilyasova,19,4,1
2007,WAS,Andray Blatche,20,5,0.5
2007,SAS,James White,24,3,0.3
2008,MIN,Marko Jaric,29,2,2.4
2008,DEN,Eduardo Najera,31,4,4.1
2008,PHI,Rodney Carney,23,3,1.6
2008,MIL,Michael Ruffin,31,4,1.2
2008,CHA,Walter Herrmann,28,4,0.2
2008,MEM,Bobby Jones,24,3,0.2
2009,TOR,Anthony Parker,33,2,3.4
2009,LAL,Derek Fisher,34,1,6.3
2009,UTA,Kyle Korver,27,3,3.7
2009,CLE,Wally Szczerbiak,31,3,4.5
2009,MIN,Rodney Carney,24,3,1.5
2009,CHA,Shannon Brown,23,2,0.3
2009,ATL,Othello Hunter,22,4,0.2
2010,LAL,Metta World Peace,30,3,5.3
2010,MIN,Corey Brewer,23,3,1
2010,MIN,Ryan Gomes,27,3,2.4
2010,HOU,David Andersen,29,4,1.3
2010,CHI,Ronald Murray,30,2,0.9
2010,WAS,Al Thornton,26,3,0.7
2010,MIL,Michael Redd,30,2,0.6
2010,POR,Jeff Ayres,22,4,1.3
2010,BOS,Michael Finley,36,3,0.8
2010,NYK,Darko Milicic,24,5,0.1
2011,NOH,Marco Belinelli,24,2,3.4
2011,NJN,Anthony Morrow,25,2,3
2011,GSW,Andris Biedrins,24,5,2.6
2011,TOR,Julian Wright,23,3,0.6
2012,OKC,Nick Collison,31,4,3.5
2012,PHO,Markieff Morris,22,4,1.5
2012,WAS,Roger Mason,31,2,0.9
2012,SAS,Boris Diaw,29,3,1.1
2013,PHI,Evan Turner,24,2,2.1
2013,POR,Meyers Leonard,20,5,2.4
2013,HOU,Marcus Morris,23,4,2
2013,SAC,Aaron Brooks,28,1,0.9
2013,MIL,Ish Smith,24,1,0.1
2014,LAL,Robert Sacre,24,5,1.4
2014,LAL,Steve Blake,33,1,0.8
2014,NOP,Luke Babbitt,24,4,0.7
2015,NYK,Tim Hardaway,22,2,0.8
2015,GSW,Justin Holiday,25,2,1.3
2015,HOU,Clint Capela,20,5,0
2015,ATL,Austin Daye,26,4,0.1
2016,MIL,Khris Middleton,24,3,0.3
2016,ORL,Elfrid Payton,21,1,0.3
2016,ORL,C.J. Watson,31,1,0.3
2016,IND,C.J. Miles,28,2,0.2
2016,SAS,David West,35,4,0.3
1978,DEN,Anthony Roberts,22,2,1.9
1978,KCK,John Kuester,22,1,1.9
1978,NYK,Toby Knight,22,4,1.6
1978,PHO,Bayard Forrest,23,4,1.4
1979,IND,Len Elmore,26,4,2.1
1979,ATL,Butch Lee,22,1,1.2
1979,DEN,Bo Ellis,24,3,0.5
1979,SAS,Glenn Mosley,23,3,0.3
1980,NYK,Joe Meriweather,26,4,2.2
1980,CLE,Willie Smith,26,1,1
1981,LAL,Michael Cooper,24,2,5
1981,UTA,Wayne Cooper,24,4,1.5
1981,PHI,Clint Richardson,24,2,2.4
1981,KCK,Gus Gerard,27,3,0.2
1982,NYK,Randy Smith,33,1,2.4
1982,CHI,Ricky Sobers,29,1,1
1982,POR,Mike Harper,24,4,2.4
1982,LAL,Eddie Jordan,27,1,0.7
1982,SEA,Greg Kelser,24,3,0.8
1982,CHI,Tracy Jackson,22,2,0.7
1982,KCK,Joe Meriweather,28,4,0.8
1983,KCK,Reggie Johnson,25,3,1.8
1983,DAL,Jim Spanarkel,25,2,1
1984,IND,Sidney Lowe,24,1,1.7
1984,SDC,Jerome Whitehead,27,4,1.5
1984,DEN,Keith Edmonson,23,2,0
1985,KCK,Mark Olberding,28,3,4.1
1985,WSB,Dudley Bradley,27,2,2.4
1985,SAS,Billy Knight,32,2,0.3
1985,DAL,Tom Sluby,22,2,0.2
1986,UTA,Mark Eaton,29,5,4
1986,IND,Clint Richardson,29,1,3.1
1986,NYK,Gerald Wilkins,22,2,0.7
1986,MIL,Jeff Lamp,26,2,1.8
1986,PHI,Bob McAdoo,34,3,0.7
1987,WSB,Frank Johnson,28,1,0.5
1988,PHO,Mark West,27,4,0.6
1988,HOU,Cedric Maxwell,32,3,2
1988,BOS,Brad Lohaus,23,4,0.9
1988,ATL,Chris Washburn,22,5,0.3
1989,BOS,Brian Shaw,22,2,2.2
1989,CHH,Robert Reid,33,3,-0.1
1989,BOS,Joe Kleine,27,5,0.9
1989,MIL,Tony Brown,28,2,0.7
1990,DAL,James Donaldson,32,5,4.5
1990,PHO,Kenny Battle,25,3,1.9
1990,MIL,Ben Coleman,28,4,0.5
1991,MIA,Grant Long,24,3,5
1991,DAL,Alex English,37,2,0.6
1991,DEN,Mahmoud Abdul-Rauf,21,1,-1
1991,CLE,John Morton,23,1,1.5
1991,SAC,Anthony Bonner,22,3,0.7
1991,HOU,Dave Jamerson,23,2,0.1
1992,BOS,Rick Fox,22,3,2.3
1992,GSW,Jaren Jackson,24,2,0.1
1992,SAS,Morlon Wiley,25,1,0
1993,MIN,Chuck Person,28,3,0
1993,HOU,Winston Garland,28,1,1.8
1994,NJN,P.J. Brown,24,4,4.2
1994,HOU,Scott Brooks,28,1,3.3
1994,CLE,John Battle,31,1,1.4
1995,CLE,Bobby Phills,25,2,4
1995,ORL,Donald Royal,28,3,3.6
1995,CHI,Ron Harper,31,2,2.4
1995,GSW,Tom Gugliotta,25,4,0.9
1995,DET,Johnny Dawkins,31,1,1.1
1995,UTA,John Crotty,25,1,2.1
1995,MIN,Pat Durham,27,3,0.9
1995,DET,Eric Leckner,28,5,0.9
1996,UTA,David Benoit,27,3,3.9
1996,POR,Chris Dudley,30,5,4.7
1996,MIL,Marty Conlon,28,4,0.6
1996,LAC,Eric Piatkowski,25,3,1.2
1996,PHO,Tony Smith,27,1,0.5
1997,DET,Grant Long,30,3,2.6
1997,DAL,Samaki Walker,20,5,0.5
1998,MIA,Dan Majerle,32,2,5.3
1998,DAL,Dennis Scott,29,3,1.3
1998,WAS,Ledell Eackles,31,2,1
1999,HOU,Cuttino Mobley,23,1,2.3
1999,DET,Jud Buechler,30,3,2.9
1999,UTA,Adam Keefe,28,4,1.7
1999,PHI,Tyrone Hill,30,4,1.2
1999,MIA,Blue Edwards,33,2,0.4
1999,BOS,Andrew DeClercq,25,4,0.5
1999,IND,Derrick McKey,32,3,0.4
1999,SEA,James Cotton,23,3,0.1
1999,NYK,Herb Williams,40,4,0.1
1999,MIL,Scott Williams,30,5,0
2000,POR,Stacey Augmon,31,2,1.5
2000,SEA,Shammond Williams,24,1,0.2
2000,CHI,Dedric Willoughby,25,1,0.4
2001,DET,Chucky Atkins,26,1,2.8
2001,SAS,Samaki Walker,24,4,1.9
2001,CHI,Khalid El-Amin,21,1,0.6
2001,BOS,Kenny Anderson,30,1,1.1
2001,POR,Rod Strickland,34,1,0.4
2001,NJN,Vladimir Stepania,24,5,0.2
2001,DET,Kornel David,29,4,0.1
2002,MIN,Anthony Peeler,32,2,3.8
2002,CHI,Fred Hoiberg,29,2,2.7
2002,POR,Rick Brunson,29,1,0.7
2003,CHI,Jay Williams,21,1,0.8
2003,PHO,Bo Outlaw,31,3,4.4
2003,UTA,Mark Jackson,37,1,1.1
2003,MEM,Mike Batiste,25,3,0.8
2003,BOS,Mark Blount,27,5,1.4
2003,DAL,Avery Johnson,37,1,0.4
2004,HOU,Jim Jackson,33,3,6.6
2004,UTA,DeShawn Stevenson,22,2,1.5
2004,CLE,Kevin Ollie,31,1,2.4
2004,WAS,Brevin Knight,28,1,0.6
2004,POR,Vladimir Stepania,27,5,0.8
2004,CLE,Lee Nailon,28,4,0.3
2004,PHO,Maciej Lampe,18,5,0.1
2005,UTA,Raja Bell,28,2,2.2
2005,NOH,David Wesley,34,1,0.7
2005,PHI,Rodney Rogers,33,3,0.9
