Year,Tm,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS
1979,NOJ,Paul Griffin,25,77,1398,10,0.527,,0.659,9.1,17.9,13.7,12.1,1.7,1.3,28.9,11,1.6
1980,PHO,Joel Kramer,24,54,711,10,0.547,0.007,0.49,7.7,15.4,11.7,13,1.7,0.4,22.7,12.6,1.4
1983,WSB,Spencer Haywood,33,38,775,10,0.447,0.003,0.279,10.9,15.3,13.1,5.7,0.7,2,16.1,22.3,0.4
1983,POR,Jeff Lamp,23,59,690,10,0.467,0.024,0.206,4,8.3,6.2,11.7,1.4,0.2,12.1,18.4,0.7
1984,PHI,Clint Richardson,27,69,1571,10,0.503,0.008,0.218,4.6,7.2,6,14,1.5,0.8,16.2,16.3,1.9
1984,NJN,Mike O'Koren,25,73,1191,10,0.508,0.073,0.226,6.7,10.1,8.4,10.5,1.3,0.5,15.1,16.6,1.5
1984,CHI,Jawann Oldham,26,64,870,10,0.524,0,0.303,9.8,21.2,15.4,5.4,0.8,5.1,25.1,15.7,0.5
1984,PHI,Wes Matthews,24,14,292,10,0.467,0.069,0.139,2.4,6.4,4.5,30.6,1.8,0.4,21.9,19.4,0.1
1985,SAS,Jeff Cook,28,54,848,10,0.562,0,0.213,11.1,16.7,14,5.6,1.4,0.9,14.4,10.5,1.8
1985,UTA,Bob Hansen,24,54,646,10,0.508,0.031,0.32,3.3,7.8,5.6,16.4,1.8,0.1,16,18.8,0.7
1986,PHO,Charles Jones,24,43,742,10,0.483,0.006,0.598,10.5,19.1,15,8.9,2,1.9,21.6,14.2,0.6
1986,BOS,Sam Vincent,22,57,432,10,0.477,0.025,0.432,3,8.9,6.1,20,1.9,0.5,20.3,23,0.3
1987,SEA,Clemon Johnson,30,78,1051,10,0.543,0.011,0.618,11,17.8,14.4,2.4,0.9,2.3,13.7,9.8,2
1988,CHI,Mike Brown,24,46,591,10,0.48,0.006,0.408,12.9,17.9,15.4,6.5,0.9,0.4,15.6,17.7,0.7
1989,BOS,Brad Lohaus,24,48,738,10,0.463,0.015,0.17,7.4,14.6,11,9.1,1.4,2.1,14.4,19.1,0.4
1989,CHH,Tom Tolbert,23,14,117,10,0.473,0.081,0.324,6.3,14,9.9,8.3,0.8,2,4.5,15.5,0.1
1990,CLE,Winston Bennett,24,55,990,10,0.515,0,0.336,9.4,11.9,10.6,8.1,1.2,0.6,15.9,17.1,1.1
1990,SEA,Quintin Dailey,29,30,491,10,0.459,0.021,0.275,4.1,8.2,6.1,10.3,1.2,0,11.2,25.8,0.1
1990,PHI,Lanard Copeland,24,23,110,10,0.499,0.074,0.206,4.2,6.1,5.2,14,0.5,0.6,20.4,35.9,-0.2
1991,LAC,Jeff Martin,24,74,1334,10,0.475,0.174,0.197,4.2,6.4,5.3,7,1.3,1.4,8.2,18.3,1.3
1991,NJN,Jud Buechler,22,74,859,10,0.455,0.018,0.292,7.2,10.2,8.6,8.2,1.9,1,9.3,13.1,1.2
1991,CHI,Dennis Hopson,25,61,728,10,0.471,0.02,0.34,8,9.6,8.8,11.5,1.7,1.2,17.4,19.9,0.5
1992,HOU,Buck Johnson,28,80,2202,10,0.492,0.014,0.226,4.9,10.7,7.9,10.4,1.7,1.3,13,15.8,2.3
1992,CLE,Henry James,26,65,866,10,0.479,0.223,0.189,4.7,9.6,7.2,4.3,0.9,0.7,9,24.1,0.3
1992,UTA,Delaney Rudd,29,65,538,10,0.467,0.25,0.223,3.3,7.8,5.7,28.5,1.4,0.1,19.2,20.5,0.3
1992,SAS,Jud Buechler,23,11,140,10,0.486,0,0.3,4.7,12.4,8.6,10.5,2.9,1.3,12.8,11.7,0.3
1992,CLE,Bobby Phills,22,10,65,10,0.472,0.071,0.393,7.1,6.6,6.9,9,2.3,0.9,19.6,27.4,-0.1
1994,POR,James Robinson,23,58,673,10,0.439,0.256,0.235,5.3,7.4,6.3,14.5,2.2,1.4,14.2,22.2,0.2
1994,DET,Mark Macon,24,35,370,10,0.425,0.05,0.173,4.4,5.8,5.1,16.5,4.5,0,14.8,20.8,-0.1
1995,WSB,Mitchell Butler,24,76,1554,10,0.506,0.278,0.364,3.1,9.8,6.3,8.8,2,0.5,15.2,19.6,0.3
1995,SAC,Lionel Simmons,26,58,1064,10,0.469,0.051,0.269,6.8,14.5,10.7,13.1,1.4,1.6,16.7,17.5,0.9
1995,WSB,Jim McIlvaine,22,55,534,10,0.539,0,0.577,8.3,14.5,11.3,2.5,1,7.9,17.6,8.8,0.8
1996,MIA,Keith Askins,28,75,1897,10,0.55,0.606,0.146,7.1,12.7,9.9,9.8,1.3,2.5,16.5,11.9,4.4
1996,CHH,Darrin Hancock,24,63,838,10,0.553,0.014,0.341,5.7,8.6,7.1,8.7,1.8,0.4,18.5,16.3,0.5
1996,VAN,Eric Mobley,25,34,611,10,0.543,0.015,0.634,9.5,15.3,12.3,6.2,1.1,2.8,22.6,16.2,0.2
1996,UTA,Bryon Russell,25,59,577,10,0.507,0.282,0.472,6.1,12.8,9.6,7.2,2.7,1.2,17.4,16.5,0.8
1996,DAL,Terry Davis,28,28,501,10,0.532,0,0.435,8.3,17,12.2,6.2,1,0.6,16.3,12.8,0.5
1996,POR,Elmore Spencer,26,11,37,10,0.478,0,0.5,6.2,21.5,13.9,4.3,0,4,17,20.9,0
1997,VAN,Blue Edwards,31,61,1439,10,0.472,0.194,0.238,3.9,11.5,7.6,13.5,1.4,1.1,13.8,18.9,-0.1
1997,TOR,Acie Earl,26,38,457,10,0.431,0.032,0.446,8.2,13.7,10.9,6.5,1.4,4.7,14.9,21.6,-0.1
1997,SAC,Jeff Grayer,31,25,316,10,0.496,0.133,0.241,7.7,6.3,7,12.5,1.3,1.7,14,15.2,0.3
1998,NJN,David Benoit,29,53,799,10,0.489,0.442,0.164,5.7,15.3,10.2,3.3,1.7,1.5,11.9,17.8,1.1
1998,DET,Grant Long,31,40,739,10,0.496,0.034,0.487,9.1,15.1,12.1,5.2,2.1,1.2,13.4,10.3,1.6
1998,PHI,Brian Shaw,31,20,502,10,0.411,0.201,0.137,3.9,10.9,7.3,28.4,1.5,0.4,14,15.3,0.4
1998,DEN,Priest Lauderdale,24,39,345,10,0.458,0,0.543,9,25.7,17.1,11.6,1.1,3.7,22.6,26.8,-0.6
1998,CLE,Carl Thomas,28,29,272,10,0.508,0.543,0.186,2.7,13.8,8.3,5.4,3.1,1.4,13.7,14.9,0.5
1999,DEN,Bryant Stith,28,46,1194,10,0.498,0.366,0.245,2.8,7.7,5.2,11.4,1.2,0.9,12.3,13.9,0.5
1999,PHI,Nazr Mohammed,21,26,121,10,0.41,0,0.5,17,18.6,17.8,3,2.2,2.6,19,23.7,0
2000,SAS,Jerome Kersey,37,72,1310,10,0.431,0.025,0.116,5.3,13.9,9.8,8.3,2.7,2.5,12.1,14.9,2.1
2000,NJN,Jim McIlvaine,27,66,1048,10,0.439,0,0.364,10.9,13.6,12.2,5,1.3,7.7,17.5,9.2,1.5
2000,SAS,Chucky Brown,31,30,602,10,0.501,0.017,0.176,2.2,11.9,7.3,11.2,0.7,1.1,12.9,16.7,0.9
2000,ATL,Cal Bowdler,22,46,423,10,0.463,0.009,0.33,5.7,16.3,11,5.2,1.7,1.4,13.8,16,0.2
2001,LAC,Michael Olowokandi,25,82,2127,10,0.451,0,0.22,9.3,18.7,14.1,3.7,0.8,3.6,17.9,20.5,-0.4
2001,BOS,Eric Williams,28,81,1745,10,0.487,0.31,0.516,4.1,10,6.9,10.6,1.9,0.6,12.1,16.3,2.2
2001,GSW,Erick Dampier,25,43,1038,10,0.432,0.006,0.401,9.2,17,12.8,9.2,0.8,4,18.2,18.4,-0.5
2001,GSW,Chris Mullin,37,20,374,10,0.486,0.491,0.264,2.6,9.6,5.8,7.9,2.2,1.9,13.8,15.5,0.3
2002,CLE,Chris Mihm,22,74,1659,10,0.47,0.013,0.34,9.5,18.2,13.9,2.4,0.6,3.9,13.8,19.4,0.7
2002,MIL,Greg Anthony,34,24,553,10,0.436,0.388,0.112,1.3,7.6,4.6,22.4,2.7,0.1,15.4,19.7,0
2002,UTA,Rusty LaRue,28,33,542,10,0.482,0.27,0.189,2.4,8.5,5.4,22.3,1.7,1,17.7,20.2,0.3
2002,PHO,Alton Ford,20,53,452,10,0.573,0,0.483,7.9,19,13.4,2.4,0.7,1.1,18.3,17.3,0.8
2002,IND,Jamison Brewer,21,13,43,10,0.4,0.2,0,5.4,15.4,10.5,30.3,2.4,0,37.5,8.4,0
2003,POR,Jeff McInnis,28,75,1311,10,0.477,0.083,0.158,2,6.9,4.5,21.3,0.9,0.1,14.2,18.6,1.1
2003,MEM,Michael Dickerson,27,6,87,10,0.553,0.458,0.208,1.3,6.4,3.9,14.1,3,0.8,18.6,16.7,0.1
2004,NJN,Jason Collins,25,78,2220,10,0.497,0.005,0.479,7.6,13.6,10.6,10.8,1.6,1.9,17.3,11.9,4.9
2004,NOH,Stacey Augmon,35,69,1416,10,0.486,0.02,0.401,4.1,10.1,7,10,2.1,0.8,15.7,15.6,1.6
2004,LAC,Keyon Dooling,23,58,1137,10,0.458,0.131,0.267,1.7,6.3,4,19.4,2.1,0.4,14.2,17.9,0.3
2004,NJN,Zoran Planinic,21,49,473,10,0.492,0.248,0.465,3.5,10.2,6.9,23.9,1.5,0.5,18.8,19,0.7
2005,SEA,Jerome James,29,80,1330,10,0.533,0.006,0.19,7.5,14.7,11.1,2.4,0.9,6.5,19.2,15.9,1.2
2005,ATL,Boris Diaw,22,66,1201,10,0.479,0.17,0.262,5,11.8,8.2,19.5,1.6,1.2,21,15.5,0.1
2005,LAL,Brian Grant,32,69,1136,10,0.539,0,0.378,10.1,15.4,12.8,4.7,1.1,1.5,15,11.4,1.6
2005,SAC,Greg Ostertag,31,56,556,10,0.432,0.024,0.452,11,22.5,16.8,9,0.6,5.1,19.2,10,0.7
2005,LAC,Kerry Kittles,30,11,243,10,0.446,0.288,0.137,0.5,14.9,7.9,13.4,1.8,0.9,8.3,16.1,0.2
2005,DEN,Mark Pope,32,9,27,10,0.333,0,0,21.5,12.7,17.1,5.3,1.9,5.6,14.3,11.6,0
2006,GSW,Mickael Pietrus,23,52,1179,10,0.5,0.421,0.342,5.4,10.2,7.7,6.2,1.4,0.6,14,21.1,0.6
2006,MEM,Brian Cardinal,28,36,402,10,0.505,0.261,0.243,3.4,13.1,8.3,14.2,3.2,0,18,18.1,0.6
2006,DEN,Howard Eisley,33,19,282,10,0.476,0.442,0.279,0.8,7,3.9,23.4,1.4,0.5,15.7,18.2,0.2
2007,BOS,Allan Ray,22,47,710,10,0.512,0.448,0.212,3,8.8,5.8,10.5,1.5,0.3,12.9,20.8,0.6
2008,IND,Kareem Rush,27,71,1504,10,0.5,0.46,0.074,1.3,11,6.1,9.3,1.4,1,9.5,18.7,1
2008,SEA,Johan Petro,22,72,1310,10,0.453,0.002,0.198,8.2,22.6,15.4,3.8,1.3,2.3,13.3,18.2,0.4
2008,CLE,Ira Newble,33,41,650,10,0.522,0.285,0.165,7,13.2,10,3.4,2.2,0.8,15.5,14,0.9
2008,CHA,Earl Boykins,31,36,577,10,0.467,0.256,0.343,1.8,5,3.4,26,1.2,0,17.2,19,0
2008,CHA,Derek Anderson,33,28,396,10,0.497,0.416,0.304,2.6,12.6,7.5,17.8,1.6,0.2,15,19.3,0.3
2008,IND,Andre Owens,27,31,392,10,0.504,0.374,0.318,3.5,9.6,6.5,17.6,1.6,0.6,16.4,16.1,0.4
2008,LAL,Ira Newble,33,6,31,10,0.389,0.222,0,22.4,17.2,19.7,13.4,1.6,2.3,25,17.1,0
2009,POR,Channing Frye,25,63,746,10,0.465,0.124,0.135,6.7,16.7,11.6,5.3,1.3,1.7,9.3,19.7,0.8
2009,ATL,Mario West,24,53,269,10,0.456,0.029,0.882,10.5,13.9,12.2,10.1,3.6,1.1,21.6,10.5,0.4
2009,LAL,Chris Mihm,29,18,105,10,0.418,0,0.175,16.4,20.2,18.3,13.7,0.5,4.4,18.8,22.2,0.1
2010,POR,Juwan Howard,36,73,1632,10,0.538,0.003,0.187,8.1,17.3,12.7,5.9,0.9,0.5,15.1,13.9,2.6
2010,NOH,Bobby Brown,25,22,328,10,0.466,0.434,0.053,0.4,6.2,3.2,22.7,1.4,0.2,13.4,25,-0.2
2011,CHI,Kurt Thomas,38,52,1178,10,0.527,0.005,0.172,7.7,21.9,15,7.4,1.4,2.7,17.3,9.4,3.2
2011,LAL,Derrick Caracter,22,41,215,10,0.532,0,0.348,10.3,12.2,11.3,5.1,1,3.5,20,20.2,0.3
2012,MIN,Martell Webster,25,47,1140,10,0.533,0.401,0.265,4.1,12.3,8.2,5.5,1.4,1.1,13.2,13.6,1.5
2012,NYK,Baron Davis,32,29,595,10,0.457,0.462,0.13,2.5,8.4,5.4,36.2,2.9,0.4,28.1,20.4,0.2
2012,DET,Will Bynum,29,36,514,10,0.459,0.149,0.33,2.3,11.1,6.5,22.4,2.4,0.5,19.6,24.8,-0.2
2013,DET,Kyle Singler,24,82,2293,10,0.517,0.312,0.193,5.4,11.3,8.3,5.3,1.3,1.3,12.3,15.8,2.3
2013,NOH,Roger Mason,32,69,1219,10,0.57,0.521,0.141,1.1,12,6.5,9.5,1.2,0.8,13.6,14.3,1.4
2014,BOS,Gerald Wallace,31,58,1416,10,0.543,0.278,0.439,2.8,14.5,8.5,14.9,2.7,0.8,26.1,11.6,1.3
2015,ORL,Luke Ridnour,33,47,683,10,0.507,0.358,0.119,1.3,10.1,5.6,21,1.5,0.5,17,14.8,0.6
2015,MIL,Kenyon Martin,37,11,104,10,0.437,0,0.091,6.7,14.2,10.5,7,2.5,4.9,11.6,11.2,0.2
2015,MIN,Sean Kilpatrick,25,4,72,10,0.506,0.65,0.2,1.5,8.2,4.8,8.5,2.1,0,8.4,14.6,0.1
2016,PHO,Markieff Morris,26,7,194,10,0.416,0.207,0.162,5.8,14.9,10.2,8.8,1.2,1.7,10.5,28.2,-0.1
1978,NYK,Glen Gondrezick,22,72,1017,10.1,0.44,,0.357,9.5,15.8,12.7,9.9,2.4,0.9,17.3,17.7,0.9
1978,BOS,Ernie DiGregorio,27,27,274,10.1,0.462,,0.119,0.8,9.1,5,34,2,0.2,29.1,22.9,-0.2
1979,POR,Larry Steele,29,72,1488,10.1,0.477,,0.282,4.3,8.5,6.4,12.6,2.3,0.4,15,16.9,2
1979,CLE,Jim Brewer,27,55,1301,10.1,0.448,,0.185,9.9,21.9,15.6,7,1.7,2.4,21.8,10.9,1
1979,PHO,Ted McClain,32,36,465,10.1,0.545,,0.348,6.1,10.3,8.2,15.4,1.8,0,26.2,17.1,0.5
1979,BOS,Kevin Stacom,27,24,260,10.1,0.414,,0.143,4.2,6,5.1,19.3,2.6,0,15.5,25.1,-0.2
1980,PHO,Johnny High,22,82,1121,10.1,0.51,0.022,0.551,6.9,10,8.5,13.7,2.9,0.7,23.5,18.6,1.1
1980,WSB,Phil Chenier,29,20,470,10.1,0.435,0.028,0.192,2.1,7.1,4.6,12.4,1.8,0.6,11.1,21.9,0
1981,PHI,Caldwell Jones,30,81,2639,10.1,0.512,0,0.398,8.9,23.6,16.8,5.5,0.9,2.8,22.8,11.3,5.5
1981,NJN,Foots Walker,29,41,1172,10.1,0.537,0.053,0.657,2.1,7.9,4.9,26.4,2,0,28.1,10.2,1.5
1982,LAL,Jim Brewer,30,71,966,10.1,0.464,0.034,0.109,12.4,17.2,14.9,4.8,1.9,2.5,16.8,9.1,1.8
1982,BOS,Danny Ainge,22,53,564,10.1,0.439,0.077,0.294,5,5.9,5.5,19.7,3.1,0.3,17.5,21.5,0.5
1983,HOU,Wally Walker,28,82,2251,10.1,0.465,0.005,0.144,6.1,12,8.9,12.9,0.8,0.5,14.4,17.8,0.1
1983,DET,Ray Tolbert,24,28,395,10.1,0.473,0.008,0.476,6.7,17.5,12,6.3,1.1,3.1,17.6,17.8,0.2
1983,POR,Hank McDowell,23,42,375,10.1,0.531,0.021,0.443,11.6,15,13.3,7.1,0.8,1.1,21.6,16,0.5
1984,CHI,Rod Higgins,24,78,1577,10.1,0.499,0.051,0.361,6.2,8.8,7.5,10.4,1.5,1.1,13.2,15.1,2
1984,CLE,Stewart Granger,22,56,738,10.1,0.489,0.058,0.31,1.2,7.5,4.2,25.4,1.6,0,18.2,17.7,0.5
1985,MIL,Paul Mokeski,28,79,1586,10.1,0.511,0.005,0.27,7.5,21.1,14.3,8.1,0.8,1.3,15,14.5,3.4
1986,UTA,Bob Hansen,25,82,2032,10.1,0.517,0.08,0.21,4.5,8.6,6.5,13.1,1.7,0.2,15.5,16.2,2.5
1986,GSW,Pete Verhoeven,26,61,749,10.1,0.554,0.012,0.257,9.1,14.3,11.6,4.8,1.8,1.2,13.9,11.3,1.2
1987,DET,Kurt Nimphius,28,28,277,10.1,0.521,0.013,0.41,8.8,12.1,10.5,3.3,0.7,2.7,14.8,15.8,0.5
1987,MIL,Mike Glenn,31,4,34,10.1,0.466,0,0.538,0,6.6,3.3,4,1.4,0,0,19.4,0.1
1988,SAS,Pete Myers,24,22,328,10.1,0.499,0.042,0.411,3.6,8.7,6.1,18.2,2.4,1,22.7,17.5,-0.1
1988,UTA,Scott Roth,24,26,201,10.1,0.482,0.149,0.405,3.9,10.8,7.5,10.8,2.8,0,11.2,20,0.3
1989,CHH,Earl Cureton,31,82,2047,10.1,0.512,0.002,0.265,9.7,17.1,13.2,8.4,1.2,1.8,18,12.7,1.5
1989,BOS,Ron Grandison,24,72,528,10.1,0.499,0.07,0.563,10.4,9.7,10,10.2,1.7,0.3,16.9,16.8,0.6
1989,LAC,Kevin Williams,27,9,114,10.1,0.479,0,0.25,8.5,10.3,9.4,19.5,2,1.5,22,15.7,0
1990,ATL,Sedric Toney,27,32,286,10.1,0.53,0.181,0.347,1.2,4.5,2.8,23.9,1.8,0,20.2,15.3,0.3
1990,NJN,Stanley Brundy,22,16,128,10.1,0.488,0,0.6,11.7,9.8,10.8,3.4,2.3,2.3,13.7,13.8,0.2
1991,DEN,Joe Wolf,26,74,1593,10.1,0.485,0.029,0.16,7.3,17.3,11.9,8,1.6,1,14.6,14.4,0.7
1991,GSW,Tom Tolbert,25,62,1371,10.1,0.491,0.048,0.397,7,15.1,11,7.2,1.2,1.6,13.6,17.1,1.3
1991,SAS,Dwayne Schintzius,22,42,398,10.1,0.458,0.013,0.258,8.2,24.5,16.8,6.2,0.2,4.4,16.5,21.6,0.2
1991,DET,Gerald Henderson,35,23,392,10.1,0.487,0.179,0.179,2.3,8.5,5.4,23.3,1.6,0.3,18.2,17.3,0.5
1992,MIN,Luc Longley,23,66,991,10.1,0.494,0,0.321,7.2,21.8,14.3,7.3,1.8,3.9,22.6,15.8,0.2
1992,ORL,Mark Acres,29,68,926,10.1,0.576,0.02,0.444,11.4,19.2,15.2,3.2,1.3,1,15.5,9.6,1.9
1992,LAL,Tony Smith,23,63,820,10.1,0.435,0.039,0.265,4.2,6.3,5.3,20,2.5,0.6,13.7,19.5,0.1
1992,CLE,Jimmy Oliver,22,27,252,10.1,0.446,0.092,0.224,4.1,7.7,6,11.2,1.8,0.5,7.7,20.2,0.2
1992,SEA,Rich King,22,40,213,10.1,0.485,0.014,0.634,10.6,16,13.3,7.8,0.9,1.5,16.5,21.5,0.2
1992,NYK,Brian Quinnett,25,24,190,10.1,0.467,0.356,0.192,5.5,8.9,7.2,5.4,1.9,2,9.2,20,0.3
1992,SAC,Les Jepsen,24,31,87,10.1,0.433,0.042,0.458,14.8,22.4,18.6,1.6,0.6,3.3,9.4,15.3,0.1
1992,DET,Gerald Henderson,36,8,62,10.1,0.517,0.238,0.238,0,10.8,5.5,11.9,2.5,0,14.7,19.3,0.1
