Year,Tm,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS
1993,ATL,Travis Mays,24,49,787,10.1,0.494,0.272,0.265,2.7,4.9,3.7,13.2,1.3,0.2,12.9,20.8,0.3
1993,NYK,Herb Williams,34,55,571,10.1,0.429,0,0.12,8.8,19.3,14.2,4.9,1.9,3.3,10.7,15.6,1.1
1994,CHI,Bill Cartwright,36,42,780,10.1,0.544,0,0.298,6.4,16.4,11.4,10.5,0.5,0.7,18.8,15.1,1.3
1994,BOS,Jimmy Oliver,24,44,540,10.1,0.473,0.15,0.154,1.7,8,4.8,9.1,1.5,0.1,8.4,20,0.2
1995,MIN,Winston Garland,30,73,1931,10.1,0.488,0.183,0.273,3.1,7.5,5.3,26.7,1.9,0.5,18.6,13.4,1.2
1995,CHH,Robert Parish,41,81,1352,10.1,0.467,0,0.272,8.5,21.5,15.3,5,1.1,1.9,13.7,16.5,1.4
1995,ATL,Doug Edwards,24,38,212,10.1,0.54,0.021,0.667,10.2,16.3,13.2,9.5,1.3,1.4,26.2,18,0.2
1995,PHI,Jerome Harmon,25,10,158,10.1,0.413,0.019,0.113,6.6,10.4,8.5,12.4,3,0,11.2,17.7,0
1996,MIN,Andrew Lang,29,20,550,10.1,0.466,0.012,0.222,9.1,17.2,13.2,0.9,0.7,5.7,13.8,17.5,0.2
1997,POR,Chris Dudley,31,81,1840,10.1,0.449,0,0.468,13.5,24.4,19.1,3.2,1.1,4,18.5,10.6,3.5
1997,DEN,Tom Hammonds,29,81,1758,10.1,0.534,0.005,0.432,8.9,17,13,5.8,0.5,0.9,15.7,14.3,1.7
1997,WSB,Jaren Jackson,29,75,1133,10.1,0.52,0.48,0.21,3.2,10.3,6.8,8.3,2.1,1.1,14.3,16.6,1.6
1997,MIN,Stojko Vrankovic,33,53,766,10.1,0.583,0,0.266,8.9,17,13,2.9,0.7,6.6,25.1,12.4,0.9
1997,NJN,Lloyd Daniels,29,17,282,10.1,0.435,0.573,0.058,6.5,8.6,7.5,13.9,1.7,0.8,9.4,17.6,0.2
1998,NJN,Michael Cage,36,79,1201,10.1,0.531,0.012,0.429,10.4,19.9,14.8,3.6,2,2.7,18.7,4.4,2.5
1998,CHI,Randy Brown,29,71,1147,10.1,0.428,0.017,0.258,3.4,6,4.7,19.6,3.3,0.8,15.8,15.6,1.8
1998,SAC,Tariq Abdul-Wahad,23,59,959,10.1,0.456,0.053,0.35,5,8.6,6.7,8.9,1.9,0.9,13.6,22.1,-0.2
1998,DET,Aaron McKie,25,24,472,10.1,0.478,0.163,0.221,6,11.2,8.6,12.9,2.7,0.2,17.4,13.6,0.7
1998,SAS,Malik Rose,23,53,429,10.1,0.485,0.022,0.449,11.5,12.6,12.1,7.5,2.7,1.2,21.3,22.6,0.4
1999,ATL,Chris Crawford,23,42,784,10.1,0.504,0.129,0.275,5.6,7.8,6.7,6.2,0.7,1.2,14.4,20,1.3
1999,CLE,Corie Blount,30,20,368,10.1,0.398,0,0.627,11.9,24.4,18.2,4.6,2.7,2.6,14.9,13.3,0.5
2000,TOR,Charles Oakley,36,80,2431,10.1,0.459,0.073,0.152,5.2,20.2,12.4,15.8,2.2,1.3,20.5,13.7,2.2
2000,MIL,Danny Manning,33,72,1217,10.1,0.46,0.012,0.153,4.8,15.1,10,8.9,2.6,1.8,13.2,15.2,1
